Student ID,Session ID,Date,EEG Data (PSD Features),Engagement Level,Attention Level,Internet Connectivity,Adaptivity Level,Learning Mode Prediction,Performance Metrics
023,181,2025-01-11,"[0.10274905629388276, 0.038061929594884636, 0.3571675996863568]",High,Moderate,High (Mobile/Wi-Fi),Low,Visual Learner,60
024,138,2025-01-22,"[0.17467735907606596, 0.9337201737167248, 0.6798255589370965]",Moderate,High,High (Mobile/Wi-Fi),Moderate,Kinesthetic Learner,89
025,170,2025-01-26,"[0.961401465162678, 0.005830654838289595, 0.8285455374718156]",High,High,Low (Mobile),Low,Kinesthetic Learner,68
026,159,2025-01-19,"[0.23189590398389648, 0.09831329826192847, 0.842386570364379]",Moderate,Moderate,Low (Mobile),Moderate,Auditory Learner,76
027,112,2025-01-11,"[0.5532951024856889, 0.8968848016788716, 0.7312276342455195]",High,Low,Moderate (Wi-Fi),Moderate,Visual Learner,88
028,150,2025-01-24,"[0.8143812510212775, 0.8343803579349709, 0.8086357628012729]",Moderate,Low,Low (Mobile),Low,Kinesthetic Learner,57
029,136,2025-01-20,"[0.6146418832291274, 0.44463092967922024, 0.4352139272030019]",Moderate,Low,Moderate (Wi-Fi),Low,Auditory Learner,79
030,178,2025-01-07,"[0.42466887247445595, 0.805895383729225, 0.8430155123755825]",Moderate,Low,Low (Mobile),Low,Auditory Learner,90
031,150,2025-01-10,"[0.9953793247877134, 0.3863526971911011, 0.1473080718423394]",High,High,High (Mobile/Wi-Fi),High,Auditory Learner,89
032,119,2025-01-21,"[0.6161395922535567, 0.6708741768651094, 0.28926017161931616]",High,Moderate,High (Mobile/Wi-Fi),Moderate,Auditory Learner,92
033,137,2025-01-02,"[0.4521531024890406, 0.3747135763117738, 0.8683183342728448]",Moderate,Moderate,Low (Mobile),High,Auditory Learner,67
034,148,2025-01-12,"[0.7239469576072081, 0.4945696652044461, 0.30851543017815075]",Moderate,High,Low (Mobile),Moderate,Auditory Learner,87
035,161,2025-01-14,"[0.6955886530570693, 0.15157658694297593, 0.1856511880858679]",Low,High,High (Mobile/Wi-Fi),High,Auditory Learner,77
036,143,2025-01-27,"[0.6653679831383981, 0.4518749290220675, 0.05529920411033207]",High,Moderate,Low (Mobile),High,Visual Learner,63
037,172,2025-01-17,"[0.2803581245711416, 0.8074078907033628, 0.5741504708290781]",High,Moderate,Low (Mobile),High,Visual Learner,58
038,154,2025-01-11,"[0.6945351770865787, 0.08212508178948696, 0.5838267210445646]",High,Moderate,High (Mobile/Wi-Fi),High,Auditory Learner,97
039,161,2025-01-20,"[0.10591172145076111, 0.26186882816789625, 0.14063701621164892]",Low,High,High (Mobile/Wi-Fi),High,Kinesthetic Learner,65
040,101,2025-01-06,"[0.8759747150902819, 0.1699602760183797, 0.2643833530077734]",High,High,Moderate (Wi-Fi),High,Visual Learner,90
041,102,2025-01-28,"[0.6831505579958844, 0.6776085254682725, 0.5663999222699845]",High,High,Moderate (Wi-Fi),Moderate,Visual Learner,65
042,146,2025-01-06,"[0.6161109083471666, 0.14530822007737831, 0.9082469942041392]",High,Low,Moderate (Wi-Fi),High,Kinesthetic Learner,68
043,120,2025-01-12,"[0.7319773231702552, 0.8292703467879091, 0.04913735833725186]",Moderate,Moderate,High (Mobile/Wi-Fi),High,Auditory Learner,61
044,125,2025-01-04,"[0.343631677683784, 0.5306826133525071, 0.30599532512182737]",Moderate,Low,Moderate (Wi-Fi),Low,Kinesthetic Learner,99
045,185,2025-01-15,"[0.9609923050063802, 0.6678655587100792, 0.796187361621038]",Low,High,Low (Mobile),Low,Kinesthetic Learner,65
046,183,2025-01-25,"[0.9993761056037053, 0.43241821866084085, 0.3811325375654697]",Low,Moderate,High (Mobile/Wi-Fi),Moderate,Visual Learner,58
047,193,2025-01-24,"[0.7423851296301394, 0.49045795155963345, 0.6188144163787882]",Low,Moderate,High (Mobile/Wi-Fi),Low,Kinesthetic Learner,84
048,153,2025-01-14,"[0.13208652839317836, 0.8059485271647819, 0.7536866210595661]",Low,Low,Low (Mobile),Low,Visual Learner,61
049,100,2025-01-08,"[0.9925550921467697, 0.5686431154961349, 0.42271863613593397]",Low,High,Low (Mobile),High,Auditory Learner,58
050,137,2025-01-17,"[0.8033615498839667, 0.1544860158546577, 0.4464806297511268]",Low,High,High (Mobile/Wi-Fi),Low,Kinesthetic Learner,58
051,190,2025-01-04,"[0.12397822426752236, 0.3668508893369442, 0.71007496323903]",High,High,High (Mobile/Wi-Fi),Low,Auditory Learner,70
052,136,2025-01-22,"[0.11326576442511982, 0.055026214245948, 0.09682952346383544]",Low,High,High (Mobile/Wi-Fi),Low,Kinesthetic Learner,69
053,138,2025-01-19,"[0.5288166624504304, 0.005935478057755739, 0.6659707614592241]",High,Low,Moderate (Wi-Fi),Moderate,Kinesthetic Learner,70
054,175,2025-01-04,"[0.7717955470000882, 0.6877363047960172, 0.35573934544724783]",Low,Moderate,High (Mobile/Wi-Fi),High,Kinesthetic Learner,83
055,168,2025-01-22,"[0.6784800230775365, 0.7589287146209208, 0.2679098570244013]",High,Low,Low (Mobile),Low,Auditory Learner,62
056,169,2025-01-01,"[0.12307407171635143, 0.59054921519674, 0.9637103651270157]",High,Moderate,Moderate (Wi-Fi),Low,Kinesthetic Learner,56
057,129,2025-01-19,"[0.970362802026177, 0.9614448700020335, 0.5975669399986533]",Moderate,Low,Low (Mobile),High,Kinesthetic Learner,52
058,119,2025-01-15,"[0.8301724289096791, 0.8800991442508359, 0.982436960801277]",High,Low,Moderate (Wi-Fi),Moderate,Kinesthetic Learner,83
059,134,2025-01-04,"[0.6413660124976837, 0.5482422662730989, 0.9366425090137831]",High,Low,Low (Mobile),Moderate,Auditory Learner,63
060,199,2025-01-27,"[0.7391029768298305, 0.07049760663267168, 0.47630381878574046]",Low,Moderate,Low (Mobile),High,Visual Learner,58
061,165,2025-01-16,"[0.6241894650282028, 0.13841534752034723, 0.26467670387736986]",Low,Low,Low (Mobile),Low,Auditory Learner,53
062,128,2025-01-29,"[0.8302426757733162, 0.5505367683118793, 0.1431492518306371]",Low,Low,Low (Mobile),High,Auditory Learner,73
063,195,2025-01-09,"[0.059620529862560945, 0.43845791751925023, 0.20819170033592949]",Low,Low,Moderate (Wi-Fi),Moderate,Visual Learner,53
064,178,2025-01-29,"[0.4731453922781538, 0.41394940056770957, 0.7014589726674296]",Moderate,Low,Moderate (Wi-Fi),Moderate,Auditory Learner,61
065,107,2025-01-04,"[0.9788090510890872, 0.3233773038369103, 0.7848276914127167]",High,High,Moderate (Wi-Fi),Low,Auditory Learner,69
066,168,2025-01-04,"[0.19404174784777595, 0.6709360669253915, 0.5935284723856434]",High,High,Low (Mobile),High,Kinesthetic Learner,99
067,196,2025-01-19,"[0.05959990984355612, 0.01449390759073832, 0.3072965694569021]",Moderate,Moderate,Low (Mobile),High,Auditory Learner,80
068,195,2025-01-12,"[0.9178736861435464, 0.2664975427145936, 0.8307507046062285]",Low,Low,Moderate (Wi-Fi),Low,Auditory Learner,58
069,145,2025-01-29,"[0.21500256409386953, 0.5487851154518322, 0.4600776147005301]",Moderate,Low,High (Mobile/Wi-Fi),Low,Auditory Learner,84
070,134,2025-01-28,"[0.2246862754986505, 0.7798075297477394, 0.6025548853328642]",Moderate,Moderate,Low (Mobile),Low,Visual Learner,61
071,174,2025-01-21,"[0.1407740779950296, 0.2932799135781813, 0.21982546320176777]",High,High,Low (Mobile),Low,Visual Learner,84
072,146,2025-01-06,"[0.6185778671600495, 0.27652667324108227, 0.9447037285790141]",Low,Moderate,High (Mobile/Wi-Fi),Low,Visual Learner,77
073,157,2025-01-15,"[0.6313152336192105, 0.7816843290475851, 0.19629347489483262]",High,Low,High (Mobile/Wi-Fi),Low,Auditory Learner,60
074,188,2025-01-03,"[0.1579131591839722, 0.3872118113216536, 0.5160407893772352]",Low,Moderate,Moderate (Wi-Fi),Moderate,Kinesthetic Learner,88
075,107,2025-01-12,"[0.0058091735312459925, 0.37337455317252244, 0.8824812995632874]",Moderate,Moderate,Low (Mobile),Low,Visual Learner,97
076,174,2025-01-14,"[0.20362429262499926, 0.6251186148965976, 0.8371408110934733]",Low,High,High (Mobile/Wi-Fi),High,Auditory Learner,51
077,199,2025-01-22,"[0.8930590869426681, 0.8614905066373726, 0.0707351015672878]",Moderate,Moderate,Moderate (Wi-Fi),High,Auditory Learner,50
078,104,2025-01-05,"[0.6244524847803496, 0.8668253049031837, 0.7696741092884933]",Low,Low,Low (Mobile),High,Kinesthetic Learner,93
079,113,2025-01-18,"[0.9525571858401758, 0.1111388602883534, 0.04547674679810776]",Low,Moderate,Low (Mobile),Low,Visual Learner,98
080,100,2025-01-30,"[0.17219024579894937, 0.6484027108926346, 0.8534022035120633]",Low,Low,Low (Mobile),Low,Auditory Learner,73
081,157,2025-01-15,"[0.7320584686268145, 0.08226294067261175, 0.12029295920787975]",Moderate,Low,High (Mobile/Wi-Fi),Moderate,Auditory Learner,57
082,194,2025-01-26,"[0.12367956232779298, 0.12571861141523866, 0.12188245260509345]",Low,High,Low (Mobile),High,Kinesthetic Learner,70
083,182,2025-01-01,"[0.3198986120526891, 0.6247523391173736, 0.041800723613446444]",Low,Moderate,High (Mobile/Wi-Fi),Low,Visual Learner,85
084,149,2025-01-24,"[0.9496606885123179, 0.6399045415539936, 0.6601641323214623]",Moderate,High,High (Mobile/Wi-Fi),High,Auditory Learner,97
085,162,2025-01-04,"[0.49890314781753, 0.04160409890748762, 0.6659856501465599]",Low,Low,Moderate (Wi-Fi),Low,Auditory Learner,53
086,173,2025-01-24,"[0.594779808719987, 0.3904461096912313, 0.715466228265312]",High,Low,Low (Mobile),Moderate,Visual Learner,92
087,106,2025-01-08,"[0.05929127054826844, 0.7081754027904157, 0.9343802108613959]",High,Low,Moderate (Wi-Fi),Low,Auditory Learner,57
088,139,2025-01-16,"[0.12057485815363589, 0.44943892451513834, 0.7381665145414268]",Low,Moderate,High (Mobile/Wi-Fi),Moderate,Auditory Learner,66
089,195,2025-01-15,"[0.2722477203492809, 0.8097119276073811, 0.7105809046049418]",Low,Moderate,Low (Mobile),Low,Kinesthetic Learner,80
090,108,2025-01-17,"[0.9564903398385777, 0.3718574966939395, 0.7814721939495644]",Moderate,Low,Moderate (Wi-Fi),Moderate,Auditory Learner,96
091,140,2025-01-24,"[0.1750173240619971, 0.9560152690817701, 0.8142799157906488]",Moderate,High,High (Mobile/Wi-Fi),Moderate,Auditory Learner,61
092,182,2025-01-20,"[0.7493476135415572, 0.1730603665612631, 0.6368026359834305]",High,Moderate,Moderate (Wi-Fi),High,Kinesthetic Learner,91
093,132,2025-01-02,"[0.6437850841610039, 0.7568568757585492, 0.6074658602235191]",Low,High,High (Mobile/Wi-Fi),Low,Auditory Learner,89
094,106,2025-01-23,"[0.23905589074596223, 0.1443461611062613, 0.8994028013580181]",Moderate,Moderate,Moderate (Wi-Fi),Moderate,Visual Learner,73
095,120,2025-01-06,"[0.6001255499708814, 0.12074021043511873, 0.11579888798282645]",High,High,Moderate (Wi-Fi),Moderate,Kinesthetic Learner,91
096,159,2025-01-18,"[0.40798379010818964, 0.8036237906087275, 0.027229418454477905]",Moderate,Low,Low (Mobile),Low,Visual Learner,91
097,166,2025-01-14,"[0.37433092835516557, 0.4757366218526585, 0.40030769532391763]",High,Moderate,High (Mobile/Wi-Fi),Low,Auditory Learner,84
098,152,2025-01-10,"[0.27860923136034, 0.2835227904244261, 0.6927976267790829]",High,Low,High (Mobile/Wi-Fi),Low,Auditory Learner,58
099,134,2025-01-27,"[0.6510439030438416, 0.9369943125652721, 0.9874622474160714]",Low,Moderate,Moderate (Wi-Fi),High,Kinesthetic Learner,60
100,146,2025-01-20,"[0.659232155113709, 0.3889584702559087, 0.9780670443839804]",Low,Moderate,Moderate (Wi-Fi),High,Visual Learner,83
101,112,2025-01-08,"[0.14513740507320505, 0.42879585241862683, 0.728271735457652]",High,Moderate,High (Mobile/Wi-Fi),Moderate,Kinesthetic Learner,72
102,172,2025-01-04,"[0.5160918866006686, 0.18137036998006584, 0.8898613647545761]",Moderate,High,High (Mobile/Wi-Fi),High,Kinesthetic Learner,70
103,102,2025-01-01,"[0.07083711898915379, 0.5884719598440984, 0.8180697261231006]",Low,Moderate,Moderate (Wi-Fi),Moderate,Auditory Learner,88
104,191,2025-01-30,"[0.12928404754643497, 0.053558113096265236, 0.5455296072041886]",Low,Moderate,High (Mobile/Wi-Fi),High,Auditory Learner,70
105,176,2025-01-19,"[0.038893403356020095, 0.411924434117373, 0.7310824291924491]",Low,High,Moderate (Wi-Fi),Low,Kinesthetic Learner,69
106,186,2025-01-08,"[0.6994679411577701, 0.5597842438075014, 0.2328154535055733]",Moderate,Low,Moderate (Wi-Fi),Moderate,Visual Learner,93
107,186,2025-01-18,"[0.30691215165254937, 0.3354851145387169, 0.01173107222062364]",Moderate,High,Moderate (Wi-Fi),Low,Visual Learner,61
108,187,2025-01-14,"[0.3992043766527492, 0.448332323622866, 0.5310980752616163]",Low,High,Low (Mobile),Low,Visual Learner,68
109,187,2025-01-17,"[0.8522850877290802, 0.723662848171989, 0.754636302458633]",Low,Low,Low (Mobile),Moderate,Visual Learner,74
110,120,2025-01-30,"[0.8983919284503137, 0.7700998424599449, 0.7174340977629574]",High,Moderate,Moderate (Wi-Fi),High,Auditory Learner,56
111,146,2025-01-02,"[0.9616173238584099, 0.4393553532489819, 0.8164355334824008]",Low,Low,Low (Mobile),Moderate,Visual Learner,92
112,114,2025-01-22,"[0.3645208265411989, 0.9482051955286024, 0.8352656394752086]",High,Low,High (Mobile/Wi-Fi),Moderate,Visual Learner,89
113,127,2025-01-27,"[0.49339037559374943, 0.1581138401670853, 0.12371434632961609]",Low,Low,High (Mobile/Wi-Fi),Moderate,Kinesthetic Learner,50
114,151,2025-01-30,"[0.6296424503859599, 0.19040938148104036, 0.5598886243523589]",High,Moderate,Moderate (Wi-Fi),High,Kinesthetic Learner,72
115,159,2025-01-17,"[0.8609582356677323, 0.7694625686746469, 0.5841249388470429]",Low,Moderate,Low (Mobile),High,Kinesthetic Learner,52
116,124,2025-01-29,"[0.03705749424325788, 0.4496323737075226, 0.3190517808299559]",High,High,High (Mobile/Wi-Fi),Low,Kinesthetic Learner,88
117,185,2025-01-25,"[0.14247981396854348, 0.38477519390237314, 0.9460090638787129]",Moderate,Low,Low (Mobile),Moderate,Auditory Learner,81
118,108,2025-01-24,"[0.07026808026914522, 0.1744594954398624, 0.7666409363457649]",Low,Moderate,High (Mobile/Wi-Fi),High,Visual Learner,93
119,127,2025-01-17,"[0.47502409255604783, 0.11862504129957507, 0.7166786433133187]",Moderate,Low,Low (Mobile),Low,Visual Learner,98
120,164,2025-01-12,"[0.3403684338930547, 0.024423529903727537, 0.43421546283290946]",Low,Moderate,Moderate (Wi-Fi),High,Kinesthetic Learner,75
121,165,2025-01-11,"[0.9180777581728454, 0.8267993614363867, 0.9938687605048874]",Moderate,Moderate,High (Mobile/Wi-Fi),High,Kinesthetic Learner,54
122,181,2025-01-13,"[0.929876987047681, 0.4174915014376339, 0.789119774214746]",Low,Low,High (Mobile/Wi-Fi),Low,Visual Learner,96
123,172,2025-01-13,"[0.04899491329543837, 0.8466275343209129, 0.6386033452731162]",High,Low,Moderate (Wi-Fi),High,Visual Learner,68
124,149,2025-01-15,"[0.21351853749005612, 0.45954296144677376, 0.6615453636438762]",Low,High,Moderate (Wi-Fi),High,Visual Learner,67
125,115,2025-01-26,"[0.9401756410911607, 0.47594761003328234, 0.9844196031906602]",High,High,High (Mobile/Wi-Fi),Low,Visual Learner,69
126,195,2025-01-04,"[0.3851618252817791, 0.5669720171236371, 0.6368258354013198]",High,Moderate,Moderate (Wi-Fi),Low,Kinesthetic Learner,66
127,156,2025-01-01,"[0.7431191449831913, 0.5194377714744364, 0.8826891161767719]",Moderate,Low,Low (Mobile),Moderate,Auditory Learner,87
128,141,2025-01-29,"[0.6261853515028679, 0.7813609659402464, 0.6287041097670582]",High,Moderate,High (Mobile/Wi-Fi),Moderate,Auditory Learner,95
129,196,2025-01-09,"[0.23214348455982103, 0.7020475566752711, 0.9430054175566429]",Low,High,High (Mobile/Wi-Fi),High,Auditory Learner,66
130,159,2025-01-17,"[0.8969233258613406, 0.5256048302564849, 0.16561549054820213]",High,High,Moderate (Wi-Fi),Moderate,Auditory Learner,88
131,191,2025-01-18,"[0.7297484379529506, 0.21039882416372413, 0.28934371207499543]",Moderate,High,Moderate (Wi-Fi),Low,Kinesthetic Learner,57
132,178,2025-01-11,"[0.25527610733943085, 0.4472115190735282, 0.9837829310907137]",High,High,High (Mobile/Wi-Fi),High,Kinesthetic Learner,91
133,135,2025-01-13,"[0.5973250713830033, 0.7852261379414847, 0.1522545510207327]",Moderate,Low,Low (Mobile),Moderate,Kinesthetic Learner,68
134,117,2025-01-07,"[0.6256584389143807, 0.07806529876865587, 0.5473715142701948]",High,Moderate,High (Mobile/Wi-Fi),Low,Kinesthetic Learner,73
135,110,2025-01-21,"[0.2171236584094961, 0.5315716818904984, 0.8283596515791156]",High,Moderate,High (Mobile/Wi-Fi),Moderate,Kinesthetic Learner,59
136,169,2025-01-26,"[0.36590594769405094, 0.17590299857026392, 0.3324141386729117]",High,Moderate,High (Mobile/Wi-Fi),Moderate,Kinesthetic Learner,82
137,178,2025-01-16,"[0.3101715803469377, 0.3232319387684818, 0.14571822001085666]",Moderate,High,Low (Mobile),Moderate,Auditory Learner,62
138,140,2025-01-25,"[0.774530036971369, 0.23629948378337418, 0.36469825748722495]",High,High,High (Mobile/Wi-Fi),High,Auditory Learner,61
139,109,2025-01-09,"[0.12089929883205541, 0.2754931187077799, 0.9290350960264296]",High,Moderate,Moderate (Wi-Fi),High,Visual Learner,81
140,186,2025-01-07,"[0.20052607263027256, 0.4753707405431813, 0.09149781612872643]",Low,High,Low (Mobile),Moderate,Kinesthetic Learner,93
141,104,2025-01-05,"[0.8800980761573743, 0.19550725519513312, 0.9184734151436497]",High,High,Moderate (Wi-Fi),Low,Visual Learner,54
142,171,2025-01-20,"[0.7868969768373592, 0.10256979321207016, 0.5890582788848542]",Moderate,Moderate,Moderate (Wi-Fi),High,Visual Learner,54
143,188,2025-01-03,"[0.7708217202896814, 0.24539677667675308, 0.5274363826293667]",High,High,Low (Mobile),Moderate,Visual Learner,86
144,182,2025-01-03,"[0.09627635747421215, 0.2840725507320002, 0.676569976697586]",High,Moderate,Low (Mobile),High,Visual Learner,56
145,103,2025-01-06,"[0.5702283534997278, 0.9296597385449917, 0.19809758036944536]",Moderate,High,Moderate (Wi-Fi),Low,Auditory Learner,88
146,185,2025-01-18,"[0.37546635050629795, 0.5084057236482963, 0.838666041533799]",Moderate,Low,High (Mobile/Wi-Fi),Moderate,Kinesthetic Learner,99
147,146,2025-01-17,"[0.4700500323461513, 0.3063984211313172, 0.8530619307425]",High,High,Low (Mobile),Moderate,Visual Learner,65
148,162,2025-01-30,"[0.970087635567492, 0.6693336985392796, 0.8652730181551643]",High,Moderate,High (Mobile/Wi-Fi),Moderate,Visual Learner,77
149,109,2025-01-20,"[0.8904303763083391, 0.8384709915831167, 0.3120752188965408]",Low,Moderate,Low (Mobile),Moderate,Kinesthetic Learner,85
150,131,2025-01-19,"[0.17440551580544705, 0.7847967289885873, 0.6553989142756244]",Moderate,Low,High (Mobile/Wi-Fi),Moderate,Auditory Learner,90
151,141,2025-01-10,"[0.05029535916148875, 0.2179028996052843, 0.5086091213112509]",Moderate,Low,High (Mobile/Wi-Fi),Moderate,Kinesthetic Learner,56
152,177,2025-01-14,"[0.9584510504258296, 0.5942572156567939, 0.05722719780508512]",High,Low,High (Mobile/Wi-Fi),Moderate,Visual Learner,95
153,111,2025-01-21,"[0.3867150043530664, 0.9650235524804336, 0.3158996687188037]",Moderate,High,Moderate (Wi-Fi),High,Auditory Learner,68
154,163,2025-01-04,"[0.8647201438859529, 0.7345867145335708, 0.90502204021548]",High,Low,Low (Mobile),High,Auditory Learner,81
155,117,2025-01-27,"[0.4672584273420042, 0.6830122480249663, 0.4133207608389531]",Low,Moderate,Moderate (Wi-Fi),Low,Auditory Learner,95
156,145,2025-01-26,"[0.44031455553713006, 0.29996118542907846, 0.21573654965966116]",Moderate,High,Low (Mobile),Low,Auditory Learner,85
157,177,2025-01-01,"[0.8719820161808679, 0.22844568283365785, 0.2633377228003384]",High,Low,High (Mobile/Wi-Fi),Low,Visual Learner,95
158,156,2025-01-28,"[0.9955700589041648, 0.17060333248346504, 0.7513218389221273]",Moderate,Moderate,Low (Mobile),High,Auditory Learner,63
159,179,2025-01-06,"[0.5017213006829511, 0.7279758097629477, 0.6127788460654765]",High,Low,Low (Mobile),Moderate,Visual Learner,95
160,154,2025-01-06,"[0.1251087666506172, 0.019590021095198473, 0.6560995927961885]",High,High,Moderate (Wi-Fi),High,Kinesthetic Learner,88
161,112,2025-01-14,"[0.31870505597206455, 0.8286225594919012, 0.5308264512124518]",High,Low,High (Mobile/Wi-Fi),Moderate,Auditory Learner,70
162,104,2025-01-09,"[0.1290411282772186, 0.959449103102642, 0.04169202441032516]",Moderate,Low,High (Mobile/Wi-Fi),Moderate,Kinesthetic Learner,97
163,186,2025-01-22,"[0.2120947791404153, 0.4787731911791089, 0.5642063932533211]",Low,Moderate,Moderate (Wi-Fi),High,Kinesthetic Learner,73
164,159,2025-01-21,"[0.8074882922050329, 0.830322716382223, 0.10402233804366501]",Low,Low,Moderate (Wi-Fi),Moderate,Auditory Learner,91
165,195,2025-01-21,"[0.5777910234578009, 0.6884008710344544, 0.1322068600429157]",High,Low,Moderate (Wi-Fi),High,Visual Learner,80
166,184,2025-01-08,"[0.2897671897168268, 0.5211039703164562, 0.06220864442297547]",Moderate,Low,High (Mobile/Wi-Fi),Moderate,Kinesthetic Learner,64
167,173,2025-01-11,"[0.45954545787556844, 0.08836757535979711, 0.4705346662959541]",Low,Moderate,Low (Mobile),High,Kinesthetic Learner,81
168,142,2025-01-01,"[0.4977319127997848, 0.7823622331283807, 0.6554165590081967]",Low,Moderate,High (Mobile/Wi-Fi),Moderate,Visual Learner,91
169,121,2025-01-27,"[0.7523197426794379, 0.7780869535798991, 0.8001306573034178]",Moderate,Low,Moderate (Wi-Fi),Low,Auditory Learner,57
170,145,2025-01-21,"[0.9972842740217944, 0.4986699941532089, 0.6742490584565315]",Moderate,Low,High (Mobile/Wi-Fi),Moderate,Visual Learner,80
171,124,2025-01-11,"[0.8913050430449981, 0.00142410810121818, 0.25179111515997754]",High,Moderate,High (Mobile/Wi-Fi),Moderate,Kinesthetic Learner,68
172,106,2025-01-05,"[0.08132136227016962, 0.2592026141274141, 0.9521882348904256]",High,Low,Low (Mobile),Moderate,Kinesthetic Learner,72
173,148,2025-01-11,"[0.213797289446795, 0.12562106985947774, 0.9752529167140388]",Moderate,High,Moderate (Wi-Fi),High,Kinesthetic Learner,97
174,162,2025-01-23,"[0.5108238722498858, 0.24996184180279446, 0.4160611427879112]",Low,Moderate,Low (Mobile),High,Kinesthetic Learner,87
175,178,2025-01-19,"[0.7313571295180251, 0.3312179362382889, 0.07717149089209929]",High,High,High (Mobile/Wi-Fi),Moderate,Visual Learner,81
176,180,2025-01-16,"[0.7496280023145896, 0.8848929397209809, 0.9616212634602328]",Moderate,High,Moderate (Wi-Fi),High,Visual Learner,68
177,140,2025-01-11,"[0.6622838671233547, 0.17148597837696167, 0.4226857253467433]",Low,High,Moderate (Wi-Fi),High,Kinesthetic Learner,81
178,172,2025-01-06,"[0.560559269215875, 0.33521107423018015, 0.9290415051705305]",High,Moderate,Moderate (Wi-Fi),High,Visual Learner,67
179,147,2025-01-22,"[0.8140371500791674, 0.9010206791891062, 0.44745112087979955]",High,Moderate,Low (Mobile),High,Visual Learner,53
180,109,2025-01-14,"[0.009312843384581382, 0.3856937049274234, 0.10727303863490456]",Low,Low,Low (Mobile),Low,Kinesthetic Learner,65
181,126,2025-01-23,"[0.3736486697959679, 0.7925714689052763, 0.3227500482586063]",High,Moderate,Moderate (Wi-Fi),Moderate,Auditory Learner,81
182,190,2025-01-05,"[0.6511934908492375, 0.21203095740425848, 0.7819514632490583]",High,High,Moderate (Wi-Fi),Moderate,Auditory Learner,85
183,145,2025-01-12,"[0.44938614392667975, 0.8045886839249966, 0.15148996562089745]",Moderate,Moderate,Low (Mobile),High,Kinesthetic Learner,70
